fechaHora,url,estado,mensajeError
2024-12-09 10:57:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 10:58:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 10:59:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:00:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:01:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:02:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:03:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:04:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:05:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
2024-12-09 11:06:00,https://bicotiza.bi.com.gt,UNABLE_TO_VERIFY_LEAF_SIGNATURE,Certificado SSL no verificado (UNABLE_TO_VERIFY_LEAF_SIGNATURE)
